"CD_NOM";"NOM_VALIDE";"NOM_CITE";"ENJEU_CONSERVATION"
81159;"Alchemilla saxatilis";"Alchemilla saxatilis Buser, 1891 ";"MOY"
81059;"Alchemilla straminea";"Alchemilla straminea Buser, 1894 ";"DD"
608142;"Alchemilla strigosula";"Alchemilla strigosula Buser, 1893 ";"DD"
81170;"Alchemilla subcrenata";"Alchemilla subcrenata Buser, 1893 ";"DD"
81171;"Alchemilla subsericea";"Alchemilla subsericea Reut., 1854 ";"DD"
81097;"Alchemilla tenuis";"Alchemilla tenuis Buser, 1894 ";"DD"
81179;"Alchemilla transiens";"Alchemilla transiens (Buser) Buser, 1898 ";"MOY"
81182;"Alchemilla trunciloba";"Alchemilla trunciloba Buser, 1894 ";"DD"
81190;"Alchemilla vetteri";"Alchemilla vetteri Buser, 1896 ";"DD"
81195;"Alchemilla xanthochlora";"Alchemilla xanthochlora Rothm., 1937 ";"MOY"
81197;"Aldrovanda vesiculosa";"Aldrovanda vesiculosa L., 1753 ";"DD"
81260;"Alisma gramineum";"Alisma gramineum Lej., 1811 ";"DD"
81263;"Alisma lanceolatum";"Alisma lanceolatum With., 1796 ";"MOY"
81272;"Alisma plantago-aquatica";"Alisma plantago-aquatica L., 1753 ";"MOY"
161879;"Alkanna lutea";"Alkanna lutea Moris, 1845 ";"TFO"
81287;"Alkanna matthioli";"Alkanna matthioli Tausch, 1824 ";"FOR"
81295;"Alliaria petiolata";"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913 ";"MOY"
81297;"Allium acutiflorum";"Allium acutiflorum Loisel., 1809 ";"TFO"
81313;"Allium ampeloprasum";"Allium ampeloprasum L., 1753 ";"FOR"
81316;"Allium angulosum";"Allium angulosum L., 1753 ";"FOR"
161002;"Allium atroviolaceum";"Allium atroviolaceum auct., non Boiss. 1846 ";"DD"
81336;"Allium carinatum";"Allium carinatum L., 1753 ";"FOR"
81341;"Allium chamaemoly";"Allium chamaemoly L., 1753 ";"MOY"
81347;"Allium coloratum";"Allium coloratum Spreng., 1825 ";"MOY"
81350;"Allium commutatum";"Allium commutatum Guss., 1855 ";"MOY"
81355;"Allium consimile";"Allium consimile Jord. ex Gren., 1855 ";"TFO"
81359;"Allium corsicum";"Allium corsicum Jauzein, J.-M.Tison, Desch̢tres &  H.Couderc, 2002 ";"TFO"
610829;"Allium cyrilli";"Allium cyrilli Ten., 1829 ";"DD"
81376;"Allium flavum";"Allium flavum L., 1753 ";"MOY"
81378;"Allium flexum";"Allium flexum Waldst. & Kit., 1812 ";"DD"
923594;"Allium longispathum";"Allium longispathum D.Delaroche, 1811 ";"MOY"
81423;"Allium lusitanicum";"Allium lusitanicum Lam., 1783 ";"FAI"
81433;"Allium moly";"Allium moly L., 1753 ";"FOR"
81439;"Allium moschatum";"Allium moschatum L., 1753 ";"MOY"
81443;"Allium narcissiflorum";"Allium narcissiflorum Vill., 1779 ";"MOY"
81445;"Allium neapolitanum";"Allium neapolitanum Cirillo, 1788 ";"MOY"
81449;"Allium nigrum";"Allium nigrum L., 1762 ";"FOR"
81457;"Allium oleraceum";"Allium oleraceum L., 1753 ";"FAI"
81459;"Allium oporinanthum";"Allium oporinanthum Brullo, Pavone & Salmeri, 1977 ";"MOY"
81463;"Allium pallens";"Allium pallens L., 1762 ";"MOY"
81468;"Allium parciflorum";"Allium parciflorum Viv., 1825 ";"FOR"
81473;"Allium pendulinum";"Allium pendulinum Ten., 1815 ";"MOY"
81479;"Allium polyanthum";"Allium polyanthum Schult. & Schult.f., 1830 ";"MOY"
81499;"Allium roseum";"Allium roseum L., 1753 ";"MOY"
81501;"Allium rotundum";"Allium rotundum L., 1762 ";"MOY"
81506;"Allium savii";"Allium savii Parl., 1857 ";"FOR"
81507;"Allium scaberrimum";"Allium scaberrimum J.Serres, 1857 ";"FOR"
81508;"Allium schoenoprasum";"Allium schoenoprasum L., 1753 ";"MOY"
81510;"Allium scorodoprasum";"Allium scorodoprasum L., 1753 ";"MOY"
81516;"Allium siculum";"Allium siculum Ucria, 1793 ";"MOY"
81520;"Allium sphaerocephalon";"Allium sphaerocephalon L., 1753 ";"MOY"
81522;"Allium strictum";"Allium strictum Schrad., 1809 ";"MOY"
81525;"Allium subhirsutum";"Allium subhirsutum L., 1753 ";"MOY"
81530;"Allium tenuiflorum";"Allium tenuiflorum Ten., 1815 ";"TFO"
81538;"Allium triquetrum";"Allium triquetrum L., 1753 ";"MOY"
81541;"Allium ursinum";"Allium ursinum L., 1753 ";"MOY"
81543;"Allium victorialis";"Allium victorialis L., 1753 ";"MOY"
81544;"Allium vineale";"Allium vineale L., 1753 ";"MOY"
959200;"Allosorus acrosticus";"Allosorus acrosticus (Balb.) Christenh., 2012 ";"MOY"
959208;"Allosorus guanchicus";"Allosorus guanchicus (Bolle) Christenh., 2012 ";"MOY"
959211;"Allosorus hispanicus";"Allosorus hispanicus (Mett.) Christenh., 2012 ";"MOY"
