"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Agrilus suvorovi Obenberger, 1935";"Agrilus suvorovi Obenberger, 1935";Animalia;
"Agrilus viridicaerulans rubi Schaefer, 1937";"Agrilus viridicaerulans rubi Schaefer, 1937";Animalia;
"Agrostis marysae-tortiae Portal, 2009";"Agrostis marysae-tortiae Portal, 2009";Plantae;
"Agrostis schleicheri Jord. & Verl., 1855";"Agrostis schleicheri Jord. & Verl., 1855";Plantae;
"Aiolopus strepens strepens (Latreille, 1804)";"Aiolopus strepens strepens (Latreille, 1804)";Animalia;
"Aiolopus strepens strepens (Latreille, 1804)";"Aiolopus strepens strepens (Latreille, 1804)";Animalia;
"Aiolopus thalassinus thalassinus (Fabricius, 1781)";"Aiolopus thalassinus thalassinus (Fabricius, 1781)";Animalia;
"Aiolopus thalassinus thalassinus (Fabricius, 1781)";"Aiolopus thalassinus thalassinus (Fabricius, 1781)";Animalia;
"Aira cupaniana Guss., 1843";"Aira cupaniana Guss., 1843";Plantae;
"Aira elegantissima Schur, 1853";"Aira elegantissima Schur, 1853";Plantae;
"Aira multiculmis Dumort., 1824";"Aira multiculmis Dumort., 1824";Plantae;
"Aira praecox L., 1753 [nom. et typ. cons.]";"Aira praecox L., 1753";Plantae;
"Airopsis tenella (Cav.) Coss. & Durieu, 1855";"Airopsis tenella (Cav.) Asch. & Graebn., 1899";;
"Ajuga pyramidalis L., 1753";"Ajuga pyramidalis L., 1753";Plantae;
"Akimerus schaefferi (Laicharting, 1784)";"Akimerus schaefferi";Animalia;
"Akimerus schaefferi (Laicharting, 1784)";"Akimerus schaefferi (Laicharting, 1784)";Animalia;
"Alauda arvensis Linnaeus, 1758";"Alauda arvensis";Animalia;
"Albana m-griseum Mulsant, 1846";"Albana m-griseum Mulsant, 1846";Animalia;
"Alcedo atthis (Linnaeus, 1758)";"Alcedo atthis";Animalia;
"Alchemilla amphisericea Buser, 1906";"Alchemilla amphisericea Buser, 1906";Plantae;
"Alchemilla connivens Buser, 1894";"Alchemilla connivens Buser, 1894";Plantae;
"Alchemilla decumbens Buser, 1894";"Alchemilla decumbens Buser, 1894";Plantae;
"Alchemilla demissa Buser, 1894";"Alchemilla demissa Buser, 1894";Plantae;
"Alchemilla filicaulis Buser, 1893";"Alchemilla filicaulis Buser, 1893";Plantae;
"Alchemilla flexicaulis Buser, 1893";"Alchemilla flexicaulis Buser, 1893";Plantae;
"Alchemilla frigens Buser, 1894";"Alchemilla frigens Buser, 1894";Plantae;
"Alchemilla glacialis Buser, 1905";"Alchemilla glacialis Buser";Plantae;
"Alchemilla glomerulans Buser, 1893";"Alchemilla glomerulans Buser, 1893";Plantae;
"Alchemilla grenieri J.Guillot, 1989";"Alchemilla grenieri J.Guillot, 1989";Plantae;
"Alchemilla grossidens Buser, 1891";"Alchemilla grossidens Buser, 1891";Plantae;
"Alchemilla heteropoda Buser, 1894";"Alchemilla heteropoda Buser, 1894";Plantae;
"Alchemilla hoppeana (Rchb.) Dalla Torre, 1882";"Alchemilla hoppeana (Rchb.) Dalla Torre, 1882";Plantae;
"Alchemilla incisa Buser, 1892";"Alchemilla incisa Buser, 1892";Plantae;
"Alchemilla pallens Buser, 1892";"Alchemilla pallens Buser, 1892";Plantae;
"Alchemilla plicata Buser, 1893";"Alchemilla plicata Buser, 1893";Plantae;
"Alchemilla schmidelyana Buser, 1891";"Alchemilla schmidelyana Buser, 1891";Plantae;
"Alchemilla splendens Christ ex Favrat, 1889";"Alchemilla splendens H.Christ ex Favrat, 1889";Plantae;
"Alchemilla strigosula Buser, 1893";"Alchemilla strigosula Buser, 1893";Plantae;
"Alchemilla subcrenata Buser, 1893";"Alchemilla subcrenata Buser, 1893";Plantae;
"Alchemilla subglobosa C.G.Westerl., 1907";"Alchemilla subglobosa";Plantae;
"Alchemilla vetteri Buser, 1896";"Alchemilla vetteri Buser, 1896";Plantae;
"Alectoris graeca (Meisner, 1804)";"Alectoris graeca";Animalia;
"Alisma gramineum Lej., 1811";"Alisma gramineum Lej., 1811";Plantae;
"Alkanna matthioli Tausch, 1824";"Alkanna matthioli Tausch, 1824";Plantae;
"Allandrus undulatus (Panzer, 1795)";"Allandrus undulatus (Panzer, 1795)";Animalia;
"Allecula morio (Fabricius, 1787)";"Allecula morio (Fabricius, 1787)";Animalia;
"Alleniella besseri (Lobarz.) S.Olsson, Enroth & D.Quandt, 2011";"Alleniella besseri (Lobarz.) S.Olsson, Enroth & D.Quandt, 2011";Plantae;
"Allium angulosum L., 1753";"Allium angulosum L., 1753";Plantae;
"Allium carinatum L., 1753";"Allium carinatum L., 1753";Plantae;
"Allium coloratum Spreng., 1825";"Allium coloratum Spreng., 1825";Plantae;
"Allium consimile Jord. ex Gren., 1855";"Allium consimile Jord. ex Gren., 1855";Plantae;
