"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Korynetes ruficornis Sturm, 1837";"Korynetes ruficornis Sturm, 1837";Animalia;
"Kurzia pauciflora (Dicks.) Grolle, 1963";"Kurzia pauciflora (Dicks.) Grolle";Plantae;
"Kurzia pauciflora (Dicks.) Grolle, 1963";"Kurzia pauciflora (Dicks.) Grolle, 1963";Plantae;
"Kurzia trichoclados (Müll.Frib.) Grolle, 1963";"Kurzia trichoclados (Müll.Frib.) Grolle, 1963";Plantae;
"Lacerta agilis Linnaeus, 1758";"Lacerta agilis";Animalia;
"Lacon lepidopterus (Panzer, 1800)";"Lacon lepidopterus (Panzer, 1800)";Animalia;
"Lacon punctatus (Herbst, 1779)";"Lacon punctatus (Herbst, 1779)";Animalia;
"Lacon querceus (Herbst, 1784)";"Lacon querceus";Animalia;
"Lacon querceus (Herbst, 1784)";"Lacon querceus (Herbst, 1784)";Animalia;
"Lactuca saligna L., 1753";"Lactuca saligna L., 1753";Plantae;
"Laemophloeus monilis (Fabricius, 1787)";"Laemophloeus monilis (Fabricius, 1787)";Animalia;
"Laeosopis roboris (Esper, 1793)";"Laeosopis roboris (Esper, 1793)";Animalia;
"Lagopus muta (Montin, 1776)";"Lagopus muta";Animalia;
"Lamia textor (Linnaeus, 1758)";"Lamia textor";Animalia;
"Lamia textor (Linnaeus, 1758)";"Lamia textor (Linnaeus, 1758)";Animalia;
"Lamium garganicum L., 1763 subsp. garganicum";"Lamium garganicum subsp. garganicum L., 1763";Plantae;
"Lampetra fluviatilis (Linnaeus, 1758)";"Lampetra fluviatilis";Animalia;
"Lampetra planeri (Bloch, 1784)";"Lampetra planeri";Animalia;
"Lampetra planeri (Bloch, 1784)";"Lampetra planeri";Animalia;
"Lampetra fluviatilis (Linnaeus, 1758)";"Lampreta fluviatilis";Animalia;
"Lamprodila decipiens (Gebler, 1847)";"Lamprodila decipiens (Gebler, 1847)";Animalia;
"Lamprodila festiva (Linnaeus, 1767)";"Lamprodila festiva (Linnaeus, 1767)";Animalia;
"Lamprodila mirifica (Mulsant, 1855)";"Lamprodila mirifica (Mulsant, 1855)";Animalia;
"Lamprodila rutilans (Fabricius, 1777)";"Lamprodila rutilans (Fabricius, 1777)";Animalia;
"Langelandia anophtalma Aubé, 1842";"Langelandia anophtalma Aubé, 1842";Animalia;
"Lanius collurio Linnaeus, 1758";"Lanius collurio";Animalia;
"Lanius excubitor Linnaeus, 1758";"Lanius excubitor";Animalia;
"Lanius meridionalis Temminck, 1820";"Lanius meridionalis";Animalia;
"Lanius senator Linnaeus, 1758";"Lanius senator";Animalia;
"Laphangium luteoalbum (L.) Tzvelev, 1994";"Laphangium luteoalbum (L.) Tzvelev, 1994";Plantae;
"Lappula squarrosa (Retz.) Dumort., 1827";"Lappula squarrosa (Retz.) Dumort., 1827";Plantae;
"Larus argentatus Pontoppidan, 1763";"Larus argentatus";Animalia;
"Larus canus Linnaeus, 1758";"Larus canus";Animalia;
"Larus fuscus Linnaeus, 1758";"Larus fuscus";Animalia;
"Laserpitium prutenicum L., 1753 subsp. prutenicum";"Laserpitium prutenicum subsp. prutenicum L., 1753";Plantae;
"Lasiommata petropolitana (Fabricius, 1787)";"Lasiommata petropolitana (Fabricius, 1787)";Animalia;
"Lathraea squamaria L., 1753";"Lathraea squamaria L., 1753";Plantae;
"Lathropus sepicola (P.W.J. Müller, 1821)";"Lathropus sepicola (P.W.J. Müller, 1821)";Animalia;
"Lathyrus angulatus L., 1753";"Lathyrus angulatus L., 1753";Plantae;
"Lathyrus cirrhosus Ser., 1825";"Lathyrus cirrhosus Ser., 1825";Plantae;
"Lathyrus filiformis (Lam.) J.Gay, 1857";"Lathyrus filiformis (Lam.) J.Gay, 1857";Plantae;
"Lathyrus heterophyllus L., 1753";"Lathyrus heterophyllus L., 1753";Plantae;
"Lathyrus inconspicuus L., 1753";"Lathyrus inconspicuus L., 1753";Plantae;
"Lathyrus niger (L.) Bernh., 1800";"Lathyrus niger (L.) Bernh., 1800";Plantae;
"Lathyrus nissolia L., 1753";"Lathyrus nissolia L., 1753";Plantae;
"Lathyrus ochraceus Kitt., 1844";"Lathyrus ochraceus Kitt., 1844";Plantae;
"Lathyrus palustris L., 1753";"Lathyrus palustris L., 1753";Plantae;
"Lathyrus pannonicus var. asphodeloides (Gouan) Širj., 1937";"Lathyrus pannonicus subsp. asphodeloides (Gouan) Bässler, 1966";;
"Lathyrus pannonicus var. asphodeloides (Gouan) Širj., 1937";"Lathyrus pannonicus var. asphodeloides (Gouan) Sirj.";Plantae;
"Lathyrus sphaericus Retz., 1783";"Lathyrus sphaericus Retz., 1783";Plantae;
"Lathyrus vernus (L.) Bernh., 1800";"Lathyrus vernus (L.) Bernh., 1800";Plantae;
"Legousia falcata (Ten.) Fritsch, 1907";"Legousia falcata subsp. castellana (Lange) Jauzein, 1995";;
"Legousia hybrida (L.) Delarbre, 1800";"Legousia hybrida (L.) Delarbre, 1800";Plantae;
"Mylia anomala (Hook.) Gray, 1821";"Leiomylia anomala (Hook.) J.J.Engel & Braggins, 2005";;
"Leiopus femoratus Fairmaire, 1859";"Leiopus femoratus Fairmaire, 1859";Animalia;
"Leiopus linnei Wallin, Nylander & Kvamme, 2009";"Leiopus linnei Wallin, Nylander & Kvamme, 2009";Animalia;
"Lejeunea lamacerina (Steph.) Schiffn., 1902";"Lejeunea lamacerina (Steph.) Schiffn., 1902";Plantae;
"Lejeunea patens Lindb., 1875";"Lejeunea patens Lindb.";Plantae;
"Lejeunea patens Lindb., 1875";"Lejeunea patens Lindb., 1875";Plantae;
"Lemna trisulca L., 1753";"Lemna trisulca L., 1753";Plantae;
"Leontodon crispus Vill., 1779";"Leontodon crispus Vill., 1779";Plantae;
"Leonurus cardiaca L., 1753";"Leonurus cardiaca L., 1753";Plantae;
"Lepidium hirtum (L.) Sm., 1818 subsp. hirtum";"Lepidium hirtum subsp. hirtum (L.) Sm., 1818";Plantae;
"Lepidium latifolium L., 1753";"Lepidium latifolium L., 1753";Plantae;
"Lepidozia reptans (L.) Dumort., 1835";"Lepidozia reptans (L.) Dumort.";Plantae;
"Lepidozia reptans (L.) Dumort., 1835";"Lepidozia reptans (L.) Dumort., 1835";Plantae;
"Leptobarbula berica (De Not.) Schimp., 1876";"Leptobarbula berica (De Not.) Schimp.";Plantae;
"Leptobarbula berica (De Not.) Schimp., 1876";"Leptobarbula berica (De Not.) Schimp., 1876";Plantae;
"Leptobryum pyriforme (Hedw.) Wilson, 1855";"Leptobryum pyriforme (Hedw.) Wilson";Plantae;
"Leptobryum pyriforme (Hedw.) Wilson, 1855";"Leptobryum pyriforme (Hedw.) Wilson, 1855";Plantae;
"Leptodon smithii (Hedw.) F.Weber & D.Mohr, 1803";"Leptodon smithii (Hedw.) F.Weber & D.Mohr";Plantae;
"Leptodon smithii (Hedw.) F.Weber & D.Mohr, 1803";"Leptodon smithii (Hedw.) F.Weber & D.Mohr, 1803";Plantae;
"Leptodontium gemmascens (Mitt.) Braithw., 1887";"Leptodontium gemmascens (Mitt.) Braithw.";Plantae;
"Leptodontium gemmascens (Mitt.) Braithw., 1887";"Leptodontium gemmascens (Mitt.) Braithw., 1887";Plantae;
"Chenia leptophylla (Müll.Hal.) R.H.Zander, 1993";"Leptophascum leptophyllum (Müll.Hal.) J.Guerra & M.J.Cano";;
"Chenia leptophylla (Müll.Hal.) R.H.Zander, 1993";"Leptophascum leptophyllum (Müll.Hal.) J.Guerra & M.J.Cano";;
"Leptophloeus alternans (Erichson, 1846)";"Leptophloeus alternans (Erichson, 1846)";Animalia;
"Leptophloeus clematidis Erichson, 1846";"Leptophloeus clematidis Erichson, 1846";Animalia;
"Leptophloeus juniperi (Grouvelle, 1874)";"Leptophloeus juniperi (Grouvelle, 1874)";Animalia;
"Leptophyes boscii Fieber, 1853";"Leptophyes boscii Fieber, 1854";Animalia;
"Leptura aethiops Poda, 1761";"Leptura aethiops Poda, 1761";Animalia;
"Leptura quadrifasciata Linnaeus, 1758";"Leptura quadrifasciata Linnaeus, 1758";Animalia;
"Lepturobosca virens (Linnaeus, 1758)";"Lepturobosca virens (Linnaeus, 1758)";Animalia;
"Lepus timidus Linnaeus, 1758";"Lepus timidus";Animalia;
"Lescuraea incurvata (Hedw.) E.Lawton, 1957";"Lescuraea incurvata (Hedw.) E.Lawton, 1957";Plantae;
"Lescuraea mutabilis (Brid.) Lindb. ex I.Hagen";"Lescuraea mutabilis (Brid.) Lindb. ex I.Hagen";Plantae;
"Lescuraea patens Lindb., 1888";"Lescuraea patens Lindb.";Plantae;
"Lescuraea patens Lindb., 1888";"Lescuraea patens Lindb., 1888";Plantae;
"Lescuraea plicata (Schleich. ex F.Weber & D.Mohr) Broth.";"Lescuraea plicata (Schleich. ex F.Weber & D.Mohr) Broth.";Plantae;
"Lescuraea plicata (Schleich. ex F.Weber & D.Mohr) Broth.";"Lescuraea plicata (Schleich. ex F.Weber & D.Mohr) Broth.";Plantae;
"Lescuraea radicosa (Mitt.) Mönk., 1927";"Lescuraea radicosa (Mitt.) Mönk.";Plantae;
"Lescuraea radicosa (Mitt.) Mönk., 1927";"Lescuraea radicosa (Mitt.) Mönk., 1927";Plantae;
"Lescuraea saviana (De Not.) E.Lawton, 1957";"Lescuraea saviana (De Not.) E.Lawton";Plantae;
"Lescuraea saviana (De Not.) E.Lawton, 1957";"Lescuraea saviana (De Not.) E.Lawton, 1957";Plantae;
"Lescuraea saxicola (Schimp.) Molendo, 1864";"Lescuraea saxicola (Schimp.) Molendo";Plantae;
"Lescuraea saxicola (Schimp.) Molendo, 1864";"Lescuraea saxicola (Schimp.) Molendo, 1864";Plantae;
"Lestes barbarus (Fabricius, 1798)";"Lestes barbarus";Animalia;
"Lestes dryas Kirby, 1890";"Lestes dryas";Animalia;
"Lestes sponsa (Hansemann, 1823)";"Lestes sponsa";Animalia;
"Lestes virens (Charpentier, 1825)";"Lestes virens";Animalia;
"Leucanthemum coronopifolium Vill., 1779 subsp. coronopifolium";"Leucanthemum coronopifolium subsp. coronopifolium Gren. & Godr., 1850";Plantae;
"Leucanthemum delarbrei Timb.-Lagr. ex Lamotte, 1881";"Leucanthemum delarbrei Timb.-Lagr. ex Lamotte, 1881";Plantae;
"Leucanthemum monspeliense (L.) H.J.Coste, 1903";"Leucanthemum monspeliense (L.) H.J.Coste, 1903";Plantae;
"Leucanthemum subglaucum de Laramb., 1861";"Leucanthemum subglaucum De Laramb., 1861";Plantae;
"Leucaspius delineatus (Heckel, 1843)";"Leucaspius delineatus";Animalia;
"Leuciscus burdigalensis Valenciennes in Cuvier & Valenciennes, 1844";"Leuciscus burdigalensis";Animalia;
"Telestes souffia (Risso, 1827)";"Leuciscus soufia";;
"Leucobryum glaucum (Hedw.) Ångstr., 1845";"Leucobryum glaucum (Hedw.) Ångstr.";Plantae;
"Leucobryum glaucum (Hedw.) Ångstr., 1845";"Leucobryum glaucum (Hedw.) Ångstr., 1845";Plantae;
"Leucobryum juniperoideum (Brid.) Müll.Hal., 1844";"Leucobryum juniperoideum (Brid.) Müll.Hal.";Plantae;
"Leucobryum juniperoideum (Brid.) Müll.Hal., 1844";"Leucobryum juniperoideum (Brid.) Müll.Hal., 1844";Plantae;
"Leucojum aestivum L., 1759";"Leucojum aestivum L., 1759";Plantae;
"Leucojum vernum L., 1753";"Leucojum vernum L., 1753";Plantae;
"Leucopoa pulchella subsp. jurana (Gren.) H.Scholz & Foggi, 2005";"Leucopoa pulchella subsp. jurana (Gren.) H.Scholz & Foggi";Plantae;
"Leucopoa pulchella (Schrad.) H.Scholz & Foggi, 2005 subsp. pulchella";"Leucopoa pulchella subsp. pulchella (Schrad.) H.Scholz & Foggi";Plantae;
"Leucorrhinia albifrons (Burmeister, 1839)";"Leucorrhinia albifrons";Animalia;
"Leucorrhinia caudalis (Charpentier, 1840)";"Leucorrhinia caudalis";Animalia;
"Leucorrhinia dubia (Vander Linden, 1825)";"Leucorrhinia dubia";Animalia;
"Leucorrhinia pectoralis (Charpentier, 1825)";"Leucorrhinia pectoralis";Animalia;
"Libellula fulva O.F. Müller, 1764";"Libellula fulva";Animalia;
"Libythea celtis (Laicharting, 1782)";"Libythea celtis (Laicharting, 1782)";Animalia;
"Ligularia sibirica (L.) Cass., 1823";"Ligularia sibirica (L.) Cass., 1823";Plantae;
"Lilium bulbiferum var. croceum (Chaix) Pers., 1805";"Lilium bulbiferum var. croceum (Chaix) Pers., 1805";Plantae;
"Limenitis populi (Linnaeus, 1758)";"Limenitis populi (Linnaeus, 1758)";Animalia;
"Limodorum abortivum (L.) Sw., 1799";"Limodorum abortivum (L.) Sw., 1799";Plantae;
"Limoniscus violaceus (P.W.J. Müller, 1821)";"Limoniscus violaceus";Animalia;
"Limoniscus violaceus (P.W.J. Müller, 1821)";"Limoniscus violaceus (P.W.J. Müller, 1821)";Animalia;
"Limosa limosa (Linnaeus, 1758)";"Limosa limosa";Animalia;
"Limosella aquatica L., 1753";"Limosella aquatica L., 1753";Plantae;
"Linaria alpina (L.) Mill., 1768";"Linaria alpina subsp. petraea (Jord.) H.Marcailhou & A.Marcailhou, 1908";;
"Linaria angustissima (Loisel.) Borbás, 1900";"Linaria angustissima (Loisel.) Borbás, 1900";Plantae;
"Linaria arvensis (L.) Desf., 1799";"Linaria arvensis (L.) Desf., 1799";Plantae;
"Linaria pelisseriana (L.) Mill., 1768";"Linaria pelisseriana (L.) Mill., 1768";Plantae;
"Linaria supina (L.) Chaz., 1790";"Linaria supina (L.) Chaz., 1790";Plantae;
"Lindernia procumbens (Krock.) Philcox, 1965";"Lindernia palustris Hartmann, 1767";;
"Linnaea borealis L., 1753";"Linnaea borealis L., 1753";Plantae;
"Linum provinciale Jord., 1849";"Linum austriacum subsp. collinum (Guss. ex Boiss.) Nyman, 1878";;
"Linum maritimum L., 1753";"Linum maritimum L., 1753";Plantae;
"Linum tenuifolium L., 1753";"Linum tenuifolium L., 1753";Plantae;
"Linum trigynum L., 1753";"Linum trigynum L., 1753";Plantae;
"Liochlaena lanceolata Nees, 1845";"Liochlaena lanceolata Nees, 1845";Plantae;
"Liocola marmorata marmorata (Fabricius, 1792)";"Liocola lugubris";;
"Liocola marmorata (Fabricius, 1792)";"Liocola marmorata (Fabricius, 1792)";Animalia;
"Liparis loeselii (L.) Rich., 1817";"Liparis loeselii (L.) Rich., 1817";Plantae;
"Lissotriton helveticus (Razoumowsky, 1789)";"Lissotriton helveticus";Animalia;
"Lissotriton vulgaris (Linnaeus, 1758)";"Lissotriton vulgaris";Animalia;
"Lithodora fruticosa (L.) Griseb., 1844";"Lithodora fruticosa (L.) Griseb., 1844";Plantae;
"Littorella uniflora (L.) Asch., 1864";"Littorella uniflora (L.) Asch., 1864";Plantae;
"Lobelia urens L., 1753";"Lobelia urens L., 1753";Plantae;
"Locustella luscinioides (Savi, 1824)";"Locustella luscinioides";Animalia;
"Locustella naevia (Boddaert, 1783)";"Locustella naevia";Animalia;
"Loeflingia hispanica L., 1753";"Loeflingia hispanica L., 1753";Plantae;
"Logfia minima (Sm.) Dumort., 1827";"Logfia minima (Sm.) Dumort., 1827";Plantae;
"Lolium temulentum L., 1753";"Lolium temulentum L., 1753";Plantae;
"Lomelosia graminifolia (L.) Greuter & Burdet, 1985";"Lomelosia graminifolia (L.) Greuter & Burdet, 1985";Plantae;
"Loncomelos narbonensis (L.) Raf., 1840";"Loncomelos narbonense (L.) Raf., 1840";Plantae;
"Lonicera alpigena L., 1753";"Lonicera alpigena L., 1753";Plantae;
"Lopheros rubens (Gyllenhal, 1817)";"Lopheros rubens (Gyllenhal, 1817)";Animalia;
"Lophocolea fragrans (Moris & De Not.) Gottsche, Lindenb. & Nees, 1845";"Lophocolea fragrans (Moris & De Not.) Gottsche, Lindenb. & Nees";Plantae;
"Lophocolea fragrans (Moris & De Not.) Gottsche, Lindenb. & Nees, 1845";"Lophocolea fragrans (Moris & De Not.) Gottsche, Lindenb. & Nees, 1845";Plantae;
"Lophozia ascendens (Warnst.) R.M.Schust., 1952";"Lophozia ascendens (Warnst.) R.M.Schust., 1952";Plantae;
"Lophozia guttulata (Lindb. & Arnell) A.Evans, 1900";"Lophozia guttulata (Lindb. & S.W.Arnell) A.Evans";Plantae;
"Lophozia silvicola H.Buch, 1929";"Lophozia silvicola H.Buch, 1929";Plantae;
"Lophozia ventricosa (Dicks.) Dumort., 1835";"Lophozia ventricosa (Dicks.) Dumort.";Plantae;
"Lophozia ventricosa (Dicks.) Dumort., 1835";"Lophozia ventricosa (Dicks.) Dumort., 1835";Plantae;
"Lophozia longiflora (Nees) Schiffn., 1903";"Lophozia ventricosa var. longiflora (Nees) Macoun, 1902";;
"Lophozia wenzelii (Nees) Steph., 1901";"Lophozia wenzelii (Nees) Steph.";Plantae;
"Lophozia wenzelii (Nees) Steph., 1901";"Lophozia wenzelii (Nees) Steph., 1901";Plantae;
"Lophoziopsis excisa (Dicks.) Konstant. & Vilnet, 2010";"Lophoziopsis excisa (Dicks.) Konstant. & Vilnet";Plantae;
"Lophoziopsis excisa (Dicks.) Konstant. & Vilnet, 2010";"Lophoziopsis excisa (Dicks.) Konstant. & Vilnet, 2010";Plantae;
"Lophoziopsis longidens (Lindb.) Konstant. & Vilnet, 2009";"Lophoziopsis longidens (Lindb.) Konstant. & Vilnet";Plantae;
"Lophoziopsis longidens (Lindb.) Konstant. & Vilnet, 2009";"Lophoziopsis longidens (Lindb.) Konstant. & Vilnet, 2009";Plantae;
"Lopinga achine (Scopoli, 1763)";"Lopinga achine (Scopoli, 1763)";Animalia;
"Lota lota (Linnaeus, 1758)";"Lota lota";Animalia;
"Lota lota (Linnaeus, 1758)";"Lota lota";Animalia;
"Lotus maritimus L., 1753";"Lotus maritimus L., 1753";Plantae;
"Lotus rectus L., 1753";"Lotus rectus L., 1753";Plantae;
"Loxia curvirostra Linnaeus, 1758";"Loxia curvirostra";Animalia;
"Lucanus cervus (Linnaeus, 1758)";"Lucanus cervus";Animalia;
"Lucanus cervus (Linnaeus, 1758)";"Lucanus cervus (Linnaeus, 1758)";Animalia;
"Lucanus cervus cervus (Linnaeus, 1758)";"Lucanus pontbrianti (Mulsant, 1839)";;
"Ludwigia palustris (L.) Elliott, 1817";"Ludwigia palustris (L.) Elliott, 1817";Plantae;
"Lullula arborea (Linnaeus, 1758)";"Lullula arborea";Animalia;
"Lunaria rediviva L., 1753";"Lunaria rediviva L., 1753";Plantae;
"Lupinus angustifolius L., 1753";"Lupinus angustifolius L., 1753";Plantae;
"Lupinus angustifolius L., 1753";"Lupinus angustifolius subsp. reticulatus (Desv.) Arcang., 1882";;
"Luronium natans (L.) Raf., 1840";"Luronium natans (L.) Raf., 1840";Plantae;
"Luscinia svecica (Linnaeus, 1758)";"Luscinia svecica";Animalia;
"Lutra lutra (Linnaeus, 1758)";"Lutra lutra";Animalia;
"Luzula desvauxii Kunth, 1841";"Luzula desvauxii Kunth, 1841";Plantae;
"Lycaena alciphron (Rottemburg, 1775)";"Lycaena alciphron (Rottemburg, 1775)";Animalia;
"Lycaena dispar (Haworth, 1802)";"Lycaena dispar (Haworth, 1802)";Animalia;
"Lycaena helle (Denis & Schiffermüller, 1775)";"Lycaena helle (Denis & Schifermüller, 1775)";Animalia;
"Lycaena virgaureae (Linnaeus, 1758)";"Lycaena virgaureae (Linnaeus, 1758)";Animalia;
"Lycopodiella inundata (L.) Holub, 1964";"Lycopodiella inundata (L.) Holub, 1964";Plantae;
"Diphasiastrum alpinum (L.) Holub, 1975";"Lycopodium alpinum L., 1753";;
"Spinulum annotinum (L.) A.Haines, 2003";"Lycopodium annotinum L., 1753";;
"Lycopodium clavatum L., 1753";"Lycopodium clavatum L., 1753";Plantae;
"Diphasiastrum issleri (Rouy) Holub, 1975";"Lycopodium issleri (Rouy) Domin, 1937";;
"Diphasiastrum oellgaardii Stoor, Boudrie, Jérôme, K.Horn & Bennert, 1996";"Lycopodium oellgaardii (Stoor, Boudrie, Jérôme, K.Horn & Bennert) B.Bock, 2012";;
"Diphasiastrum tristachyum (Pursh) Holub, 1975";"Lycopodium tristachyum Pursh, 1814";;
"Lyctus brunneus (Stephens, 1830)";"Lyctus brunneus (Stephens, 1830)";Animalia;
"Lymnocryptes minimus (Brünnich, 1764)";"Lymnocryptes minimus";Animalia;
"Lynx lynx (Linnaeus, 1758)";"Lynx lynx";Animalia;
"Lyphia tetraphylla (Fairmaire, 1857)";"Lyphia tetraphylla (Fairmaire, 1857)";Animalia;
"Lyrurus tetrix (Linnaeus, 1758)";"Lyrurus tetrix";Animalia;
"Lysimachia europaea (L.) U.Manns & Anderb., 2009";"Lysimachia europaea (L.) U.Manns & Anderb., 2009";Plantae;
"Lysimachia maritima (L.) Galasso, Banfi & Soldano, 2005";"Lysimachia maritima (L.) Galasso, Banfi & Soldano, 2005";Plantae;
"Lysimachia minima (L.) U.Manns & Anderb., 2009";"Lysimachia minima (L.) U.Manns & Anderb., 2009";Plantae;
"Lysimachia tenella L., 1753";"Lysimachia tenella L., 1753";Plantae;
"Lysimachia thyrsiflora L., 1753";"Lysimachia thyrsiflora L., 1753";Plantae;
"Lythrum borysthenicum (Schrank) Litv., 1917";"Lythrum borysthenicum (Schrank) Litv., 1917";Plantae;
"Lythrum hyssopifolia L., 1753";"Lythrum hyssopifolia L., 1753";Plantae;
"Lythrum thymifolia L., 1753";"Lythrum thymifolium L., 1753";Plantae;
"Macromia splendens (Pictet, 1843)";"Macromia splendens";Animalia;
"Mannia androgyna (L.) A.Evans, 1938";"Mannia androgyna (L.) A.Evans";Plantae;
"Mannia androgyna (L.) A.Evans, 1938";"Mannia androgyna (L.) A.Evans, 1938";Plantae;
"Mannia californica (Gottsche ex Underw.) L.C.Wheeler";"Mannia californica (Gottsche ex Underw.) L.C.Wheeler";Plantae;
"Mannia californica (Gottsche ex Underw.) L.C.Wheeler";"Mannia californica (Gottsche ex Underw.) L.C.Wheeler";Plantae;
"Mannia controversa (Meyl.) D.B.Schill, 2008";"Mannia controversa (Meyl.) D.B.Schill, 2008";Plantae;
"Mannia fragrans (Balb.) Frye & L.Clark, 1937";"Mannia fragrans (Balb.) Frye & L.Clark";Plantae;
"Mannia fragrans (Balb.) Frye & L.Clark, 1937";"Mannia fragrans (Balb.) Frye & L.Clark, 1937";Plantae;
"Mannia gracilis (F.Weber) Schill & D.G.Long";"Mannia gracilis (F.Weber) Schill & D.G.Long";Plantae;
"Mannia gracilis (F.Weber) Schill & D.G.Long";"Mannia gracilis (F.Weber) Schill & D.G.Long";Plantae;
"Mannia pilosa (Hornem.) Frye & L.Clark, 1937";"Mannia pilosa (Hornem.) Frye & L.Clark, 1937";Plantae;
"Mannia triandra (Scop.) Grolle, 1975";"Mannia triandra (Scop.) Grolle";Plantae;
"Mannia triandra (Scop.) Grolle, 1975";"Mannia triandra (Scop.) Grolle, 1975";Plantae;
"Mantisalca salmantica (L.) Briq. & Cavill., 1930";"Mantisalca salmantica (L.) Briq. & Cavill., 1930";Plantae;
"Marchantia paleacea Bertol., 1817";"Marchantia paleacea Bertol., 1817";Plantae;
"Marchantia polymorpha subsp. montivagans Bischl. & Boissel.-Dub., 1991";"Marchantia polymorpha subsp. montivagans Bischl. & Boisselier";Plantae;
"Marchantia polymorpha subsp. montivagans Bischl. & Boissel.-Dub., 1991";"Marchantia polymorpha subsp. montivagans Bischl. & Boisselier";Plantae;
"Marchantia quadrata Scop., 1772";"Marchantia quadrata Scop., 1772";Plantae;
"Mareca penelope (Linnaeus, 1758)";"Mareca penelope";Animalia;
"Mareca strepera (Linnaeus, 1758)";"Mareca strepera";Animalia;
"Margaritifera margaritifera (Linnaeus, 1758)";"Margaritifera margaritifera";Animalia;
"Marmota marmota (Linnaeus, 1758)";"Marmota marmota";Animalia;
"Marolia leseigneuri Nicolas, 1977";"Marolia leseigneuri Nicolas, 1977";Animalia;
"Marolia variegata (Bosc, 1791)";"Marolia variegata (Bosc, 1791)";Animalia;
"Marsilea quadrifolia L., 1753";"Marsilea quadrifolia L., 1753";Plantae;
"Marsupella apiculata Schiffn., 1903";"Marsupella apiculata Schiffn., 1903";Plantae;
"Marsupella boeckii (Austin) Lindb. ex Kaal., 1893";"Marsupella boeckii (Austin) Lindb. ex Kaal.";Plantae;
"Marsupella boeckii (Austin) Lindb. ex Kaal., 1893";"Marsupella boeckii (Austin) Lindb. ex Kaal., 1893";Plantae;
"Marsupella emarginata (Ehrh.) Dumort., 1835";"Marsupella emarginata (Ehrh.) Dumort., 1835";Plantae;
"Marsupella funckii (F.Weber & D.Mohr) Dumort., 1835";"Marsupella funckii (F.Weber & D.Mohr) Dumort., 1835";Plantae;
"Marsupella sparsifolia (Lindb.) Dumort., 1874";"Marsupella sparsifolia (Lindb.) Dumort.";Plantae;
"Marsupella sparsifolia (Lindb.) Dumort., 1874";"Marsupella sparsifolia (Lindb.) Dumort., 1874";Plantae;
"Marsupella sphacelata (Gieseke ex Lindenb.) Dumort., 1835";"Marsupella sphacelata (Gieseke ex Lindenb.) Dumort.";Plantae;
"Marsupella sphacelata (Gieseke ex Lindenb.) Dumort., 1835";"Marsupella sphacelata (Gieseke ex Lindenb.) Dumort., 1835";Plantae;
"Matthiola valesiaca J.Gay ex Boiss., 1867";"Matthiola valesiaca J.Gay ex Boiss., 1867";Plantae;
"Mecostethus parapleurus parapleurus (Hagenbach, 1822)";"Mecostethus parapleurus parapleurus (Hagenbach, 1822)";Animalia;
"Medicago littoralis Rohde ex Loisel., 1810";"Medicago littoralis Rohde ex Loisel., 1810";Plantae;
"Medicago monspeliaca (L.) Trautv., 1841";"Medicago monspeliaca (L.) Trautv., 1841";Plantae;
"Meesia longiseta Hedw., 1801";"Meesia longiseta Hedw.";Plantae;
"Meesia longiseta Hedw., 1801";"Meesia longiseta Hedw., 1801";Plantae;
"Meesia triquetra (L. ex Jolycl.) Ångstr., 1844";"Meesia triquetra (L. ex Jolycl.) Ångstr.";Plantae;
"Meesia triquetra (L. ex Jolycl.) Ångstr., 1844";"Meesia triquetra (L. ex Jolycl.) Ångstr., 1844";Plantae;
"Meesia uliginosa Hedw., 1801";"Meesia uliginosa Hedw.";Plantae;
"Meesia uliginosa Hedw., 1801";"Meesia uliginosa Hedw., 1801";Plantae;
"Megapenthes lugens (W. Redtenbacher, 1842)";"Megapenthes lugens (W. Redtenbacher, 1842)";Animalia;
"Melampyrum catalaunicum Freyn, 1884";"Melampyrum catalaunicum Freyn, 1884";Plantae;
"Melampyrum cristatum L., 1753";"Melampyrum cristatum L., 1753";Plantae;
"Melanargia russiae (Esper, 1783)";"Melanargia russiae (Esper, 1783)";Animalia;
"Melandrya barbata (Fabricius, 1787)";"Melandrya barbata (Fabricius, 1787)";Animalia;
"Melandrya caraboides (Linnaeus, 1761)";"Melandrya caraboides (Linnaeus, 1760)";Animalia;
"Melandrya dubia (Schaller, 1783)";"Melandrya dubia (Schaller, 1783)";Animalia;
"Melanitta fusca (Linnaeus, 1758)";"Melanitta fusca";Animalia;
"Melanitta nigra (Linnaeus, 1758)";"Melanitta nigra";Animalia;
"Melanocorypha calandra (Linnaeus, 1766)";"Melanocorypha calandra";Animalia;
"Melanophila acuminata (De Geer, 1774)";"Melanophila acuminata (De Geer, 1774)";Animalia;
"Melanoplus frigidus frigidus (Boheman, 1846)";"Melanoplus frigidus frigidus (Boheman, 1846)";Animalia;
"Melanotus castanipes (Paykull, 1800)";"Melanotus castanipes (Paykull, 1800)";Animalia;
"Melanotus tenebrosus (Erichson, 1841)";"Melanotus tenebrosus (Erichson, 1841)";Animalia;
"Meliboeus fulgidicollis (P.H. Lucas, 1846)";"Meliboeus fulgidicollis (P.H. Lucas, 1846)";Animalia;
"Melilotus indicus (L.) All., 1785";"Melilotus indicus (L.) All., 1785";Plantae;
